User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
172503166,2022-04-18 02:52:19,Spot,Liquid Swap buy,USDT,8.20500529,""
172503166,2022-04-18 02:57:01,Savings,Savings purchase,AXS,-0.00543980,""
172503166,2022-04-18 02:57:01,Savings,Savings purchase,LDAXS,0.00543980,""
172503166,2022-04-18 02:58:41,Savings,Savings purchase,LDDAI,1.3E-7,""
172503166,2022-04-18 02:58:41,Savings,Savings purchase,DAI,-1.3E-7,""
172503166,2022-04-18 03:02:20,USDT-Futures,Fee,USDT,-0.00190486,""
172503166,2022-04-18 03:02:20,USDT-Futures,Fee,USDT,-0.01523891,""
172503166,2022-04-18 03:10:38,Spot,POS savings interest,AXS,0.00135995,""
172503166,2022-04-18 03:20:28,Savings,Savings Interest,BSW,0.00000846,""
172503166,2022-04-18 03:20:54,Savings,Savings Interest,BNB,1.0E-7,""
172503166,2022-04-18 03:33:17,USDT-Futures,Fee,USDT,-0.03294760,""
172503166,2022-04-18 03:44:01,Savings,Savings Interest,SHIB,0.48000000,""
172503166,2022-04-18 03:58:41,USDT-Futures,Realize profit and loss,USDT,0.21060000,""
172503166,2022-04-18 03:58:41,USDT-Futures,Fee,USDT,-0.01722801,""
172503166,2022-04-18 04:00:15,USDT-Futures,Fee,USDT,-0.02790960,""
172503166,2022-04-18 04:00:15,USDT-Futures,Fee,USDT,-0.00465200,""
172503166,2022-04-18 04:00:15,USDT-Futures,Realize profit and loss,USDT,-0.82800000,""
172503166,2022-04-18 04:00:15,USDT-Futures,Realize profit and loss,USDT,-0.13700000,""
172503166,2022-04-18 04:00:25,USDT-Futures,Fee,USDT,-0.12093120,""
172503166,2022-04-18 04:03:21,USDT-Futures,Realize profit and loss,USDT,-1.01400000,""
172503166,2022-04-18 04:03:21,USDT-Futures,Fee,USDT,-0.12052560,""
172503166,2022-04-18 04:03:23,Savings,Savings Interest,APE,0.00000311,""
172503166,2022-04-18 04:03:37,USDT-Futures,Fee,USDT,-0.12526920,""
172503166,2022-04-18 04:09:27,Spot,Liquid Swap rewards,USDT,0.00000896,""
172503166,2022-04-18 04:09:27,Spot,Liquid Swap rewards,BNB,2E-8,""
172503166,2022-04-18 04:14:50,USDT-Futures,Realize profit and loss,USDT,-0.07200000,""
172503166,2022-04-18 04:14:50,USDT-Futures,Fee,USDT,-0.00461080,""
172503166,2022-04-18 04:14:50,USDT-Futures,Realize profit and loss,USDT,-1.87200000,""
172503166,2022-04-18 04:14:50,USDT-Futures,Fee,USDT,-0.11988080,""
172503166,2022-04-18 04:15:17,USDT-Futures,Asset Conversion Transfer,ETH,-0.00000464,""
172503166,2022-04-18 04:15:17,USDT-Futures,Asset Conversion Transfer,USDT,0.01373223,""
172503166,2022-04-18 04:16:29,USDT-Futures,Fee,USDT,-0.00277497,""
172503166,2022-04-18 04:16:29,USDT-Futures,Fee,USDT,-0.00894883,""
172503166,2022-04-18 04:16:29,USDT-Futures,Fee,USDT,-0.04940016,""
172503166,2022-04-18 04:16:29,USDT-Futures,Fee,USDT,-0.02482579,""
172503166,2022-04-18 04:19:07,USDT-Futures,Realize profit and loss,USDT,-0.58956000,""
172503166,2022-04-18 04:19:07,USDT-Futures,Fee,USDT,-0.04551403,""
172503166,2022-04-18 04:19:07,USDT-Futures,Fee,USDT,-0.03999268,""
172503166,2022-04-18 04:19:07,USDT-Futures,Realize profit and loss,USDT,-0.51804000,""
172503166,2022-04-18 04:19:22,USDT-Futures,Fee,USDT,-0.06430993,""
172503166,2022-04-18 04:19:22,USDT-Futures,Fee,USDT,-0.00074746,""
172503166,2022-04-18 04:20:11,USDT-Futures,Realize profit and loss,USDT,3.17250000,""
172503166,2022-04-18 04:20:11,USDT-Futures,Fee,USDT,-0.06378839,""
172503166,2022-04-18 04:20:20,USDT-Futures,Fee,USDT,-0.05786857,""
172503166,2022-04-18 04:21:25,USDT-Futures,Fee,USDT,-0.03463771,""
172503166,2022-04-18 04:21:58,USDT-Futures,Realize profit and loss,USDT,-0.89264000,""
172503166,2022-04-18 04:21:58,USDT-Futures,Fee,USDT,-0.05751152,""
172503166,2022-04-18 04:22:07,USDT-Futures,Fee,USDT,-0.03362236,""
172503166,2022-04-18 04:23:46,USDT-Futures,Realize profit and loss,USDT,0.11505000,""
172503166,2022-04-18 04:23:46,USDT-Futures,Fee,USDT,-0.03459170,""
172503166,2022-04-18 04:24:09,USDT-Futures,Fee,USDT,-0.02751510,""
172503166,2022-04-18 04:24:14,USDT-Futures,Fee,USDT,-0.03325076,""
172503166,2022-04-18 04:24:14,USDT-Futures,Realize profit and loss,USDT,-0.92900000,""
172503166,2022-04-18 04:24:55,USDT-Futures,Realize profit and loss,USDT,0.36900000,""
172503166,2022-04-18 04:24:55,USDT-Futures,Fee,USDT,-0.02736750,""
172503166,2022-04-18 04:25:08,USDT-Futures,Fee,USDT,-0.08624414,""
172503166,2022-04-18 04:26:03,Savings,Savings Interest,ROSE,0.00000137,""
172503166,2022-04-18 04:26:21,USDT-Futures,Realize profit and loss,USDT,-1.06546000,""
172503166,2022-04-18 04:26:21,USDT-Futures,Fee,USDT,-0.08667032,""
172503166,2022-04-18 04:27:10,USDT-Futures,Fee,USDT,-0.04073160,""
172503166,2022-04-18 04:29:22,Spot,Liquid Swap remove,USDT,2.78236459,""
172503166,2022-04-18 04:30:51,USDT-Futures,Asset Conversion Transfer,USDT,-1.00000000,""
172503166,2022-04-18 04:30:51,USDT-Futures,Asset Conversion Transfer,BTC,0.00002565,""
172503166,2022-04-18 04:32:50,USDT-Futures,Fee,USDT,-0.01385454,""
172503166,2022-04-18 04:32:50,USDT-Futures,Fee,USDT,-0.00277084,""
172503166,2022-04-18 04:42:16,USDT-Futures,Fee,USDT,-0.01643479,""
172503166,2022-04-18 04:42:16,USDT-Futures,Realize profit and loss,USDT,-0.47649000,""
172503166,2022-04-18 04:42:59,USDT-Futures,Fee,USDT,-0.02820776,""
172503166,2022-04-18 04:43:26,USDT-Futures,Fee,USDT,-0.00639606,""
172503166,2022-04-18 04:43:45,USDT-Futures,Realize profit and loss,USDT,-0.37536000,""
172503166,2022-04-18 04:43:45,USDT-Futures,Realize profit and loss,USDT,-0.13080000,""
172503166,2022-04-18 04:43:45,USDT-Futures,Fee,USDT,-0.02107848,""
172503166,2022-04-18 04:43:45,USDT-Futures,Fee,USDT,-0.00733174,""
172503166,2022-04-18 04:47:08,USDT-Futures,Fee,USDT,-0.01003279,""
172503166,2022-04-18 04:48:16,USDT-Futures,Fee,USDT,-0.00640474,""
172503166,2022-04-18 04:48:16,USDT-Futures,Realize profit and loss,USDT,0.02170000,""
172503166,2022-04-18 04:49:05,USDT-Futures,Fee,USDT,-0.01825007,""
172503166,2022-04-18 04:49:34,USDT-Futures,Fee,USDT,-0.01002768,""
172503166,2022-04-18 04:49:34,USDT-Futures,Realize profit and loss,USDT,0.01276000,""
172503166,2022-04-18 04:57:25,USDT-Futures,Realize profit and loss,USDT,0.09900000,""
172503166,2022-04-18 04:57:25,USDT-Futures,Fee,USDT,-0.01828968,""
172503166,2022-04-18 04:57:50,USDT-Futures,Fee,USDT,-0.04840108,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,BNB,0.00000298,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,BNB,0.00023443,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,BNB,8E-8,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,BNB,0.00004073,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,BETH,-0.00759307,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,BNB,0.05309403,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,APE,-0.00000311,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,BCH,-0.00029775,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,BNB,0.00014598,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,AXS,-0.00135995,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,BNB,4.9E-7,""
